TipoDocumento;NumeroDocumento;Nombres;Apellidos
CE;118324456;Marta;Sánchez Navarro
CE;118324457;Paula;Martínez Serrano
CC;118324458;Sara;Navarro González
CC;118324459;José;Gutiérrez Serrano
CE;118324460;Sara;Ruiz Alonso
CE;118324461;Lucía;Moreno Ramos
CC;118324462;Rafael;Blanco Ramos
CE;118324463;Pablo;Martín Álvarez
CC;118324464;Víctor;Molina Gómez
CE;118324465;Lucía;Serrano Díaz
CC;118324466;Javier;Blanco Ramos
CE;118324467;Óscar;Romero Serrano
CC;118324468;Julia;Martín Fernández
CC;118324469;Valeria;Pérez Navarro
CE;118324470;Daniela;Sánchez López
